:IngredientName,IngredientType,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
SEQ_BBM_LayerNo,Analog,SEQ_BBM_LayerNo,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,1,1,1,1,1,1,1,1,1,1,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
SEQ_Testslide,Analog,SEQ_Testslide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEQ_MaterialID,Message,SEQ_MaterialID,"----","----","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","----","----","----","----","----","----","----","----","----","----","----","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02","Ta2O5_HP v02","SiO2_HP v02"
SEQ_RefractiveIndex,Analog,SEQ_RefractiveIndex,2.3,2.3,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2,2,2,2,2,2,2,2,2,2,2.3,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769,2.30573,1.496769
SEQ_SettlingTime,Analog,SEQ_SettlingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEQ_GSA,Analog,SEQ_GSA,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SEQ_TriggerFunction,Analog,SEQ_TriggerFunction,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEQ_Slits,Analog,SEQ_Slits,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SEQ_Rate,Analog,SEQ_Rate,0.5,0.5,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0,0,0,0,0,0,0,0,0,0,0.5,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51,0.61,0.51
SEQ_RateReference,Analog,SEQ_RateReference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
