:IngredientName,IngredientType,Unit,Unit,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
"Trend1Pen8",MESSAGE,"Trend1Pen8","Trend2Pen8","Trend3Pen8","Trend4Pen8","SPARE","SPARE","Act_OMS_StandardDev","SPARE","Act_PM_Tmp1Speed","Act_PM_PVD3_SplyPwr","Act_PM_PVD3_SplyPwr","Act_PM_PVD3_SplyPwr","Act_PM_PVD3_PS2HArcCnt","Act_OMS_MonWL","Act_PM_PVD3_Gas4Flow","Act_OMS_StandardDev","Act_PM_PVD2_SplyArcCountVolt","Act_PM_PBS_SplyRefPwr","Act_PM_PBS_SplyRefPwr","Act_LLM_ChamPress"
"Trend1MinEU1",Analog,"Trend1MinEU1","Trend2MinEU1","Trend3MinEU1","Trend4MinEU1","1e-006","1e-006","1e-06","1e-06","-7","-7","-7","0","200","0","250","1e-06","250","250","0","0"
"Trend1MinEU2",Analog,"Trend1MinEU2","Trend2MinEU2","Trend3MinEU2","Trend4MinEU2","0","0","0","0","0","0","0","-2","0","0","0","0","0","500","0","0"
"Trend1MinEU3",Analog,"Trend1MinEU3","Trend2MinEU3","Trend3MinEU3","Trend4MinEU3","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0"
"Trend1MinEU4",Analog,"Trend1MinEU4","Trend2MinEU4","Trend3MinEU4","Trend4MinEU4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trend1MinEU5",Analog,"Trend1MinEU5","Trend2MinEU5","Trend3MinEU5","Trend4MinEU5","0","0","0","0","1e-07","0","1e-007","0","0","-0.4","1e-07","-0.4","0","1e-07","1e-07","0"
"Trend1MinEU6",Analog,"Trend1MinEU6","Trend2MinEU6","Trend3MinEU6","Trend4MinEU6","0","0","0","0","0.0001","0","0.0001","0","0","0","0.0001","0","0","0.0001","0.0001","0"
"Trend1MinEU7",Analog,"Trend1MinEU7","Trend2MinEU7","Trend3MinEU7","Trend4MinEU7","-7","-7","0","-7","1e-05","0","0","0","-7","0","0","0","85","90","0","0"
"Trend1MinEU8",Analog,"Trend1MinEU8","Trend2MinEU8","Trend3MinEU8","Trend4MinEU8","0","0","0","0","0","0","0","0","-1","200","0","0","0","0","0","1e-07"
"Trend1MaxEU1",Analog,"Trend1MaxEU1","Trend2MaxEU1","Trend3MaxEU1","Trend4MaxEU1","500","1000","100","10000","-2","-2","-2","400","400","100","400","200","400","400","12000","2500"
"Trend1MaxEU2",Analog,"Trend1MaxEU2","Trend2MaxEU2","Trend3MaxEU2","Trend4MaxEU2","500","100","100","100","10","10","10","100","1000","100","1000","100","1000","700","12000","2500"
"Trend1MaxEU3",Analog,"Trend1MaxEU3","Trend2MaxEU3","Trend3MaxEU3","Trend4MaxEU3","20","2000","100","2000","170","100","100","100","20000","100","20000","100","12000","5000","5000","2500"
"Trend1MaxEU4",Analog,"Trend1MaxEU4","Trend2MaxEU4","Trend3MaxEU4","Trend4MaxEU4","20","20","200","20","100","100","100","100","20","100","20","100","20","10","12000","5"
"Trend1MaxEU5",Analog,"Trend1MaxEU5","Trend2MaxEU5","Trend3MaxEU5","Trend4MaxEU5","4","4","4","4","0.001","2000","0.001","400","100","0.4","50","0.4","50","50","50","80"
"Trend1MaxEU6",Analog,"Trend1MaxEU6","Trend2MaxEU6","Trend3MaxEU6","Trend4MaxEU6","150","150","10","150","0.01","5000","0.01","5000","50","10","50","10","60","50","50","80"
"Trend1MaxEU7",Analog,"Trend1MaxEU7","Trend2MaxEU7","Trend3MaxEU7","Trend4MaxEU7","3","3","10","3","0.0005","5000","360","5000","3","20","50","10","95","95","100","5000"
"Trend1MaxEU8",Analog,"Trend1MaxEU8","Trend2MaxEU8","Trend3MaxEU8","Trend4MaxEU8","5","5","5","5","100","5000","5000","5000","9","2000","5000","0.01","5","5","5","0.001"
"Trend1Dec1",Analog,"Trend1Dec1","Trend2Dec1","Trend3Dec1","Trend4Dec1","0","2","2","2","2","2","2","2","1","2","1","2","0","1","1","0"
"Trend1Dec2",Analog,"Trend1Dec2","Trend2Dec2","Trend3Dec2","Trend4Dec2","0","2","2","2","2","2","2","2","0","2","0","2","0","0","1","0"
"Trend1Dec3",Analog,"Trend1Dec3","Trend2Dec3","Trend3Dec3","Trend4Dec3","0","0","2","0","2","2","2","2","0","2","0","2","0","0","0","0"
"Trend1Dec4",Analog,"Trend1Dec4","Trend2Dec4","Trend3Dec4","Trend4Dec4","0","0","2","0","1","1","1","1","0","2","1","2","0","1","1","1"
"Trend1Dec5",Analog,"Trend1Dec5","Trend2Dec5","Trend3Dec5","Trend4Dec5","1","1","1","1","7","2","7","2","1","4","1","1","1","1","1","1"
"Trend1Dec6",Analog,"Trend1Dec6","Trend2Dec6","Trend3Dec6","Trend4Dec6","1","1","1","1","6","1","6","1","1","1","1","1","1","1","1","0"
"Trend1Dec7",Analog,"Trend1Dec7","Trend2Dec7","Trend3Dec7","Trend4Dec7","0","0","0","0","5","1","1","1","0","0","1","0","2","2","2","1"
"Trend1Dec8",Analog,"Trend1Dec8","Trend2Dec8","Trend3Dec8","Trend4Dec8","0","0","0","0","1","1","1","1","0","1","1","4","0","1","1","1"
"Trend1EU1",MESSAGE,"Trend1EU1","Trend2EU1","Trend3EU1","Trend4EU1","mA","mV","%","KW","mbar","mbar","mbar","mV","mV","%","mV","degC","mV","mV","W","W"
"Trend1EU2",MESSAGE,"Trend1EU2","Trend2EU2","Trend3EU2","Trend4EU2","mA","sccm","%","sccm","mbar","mbar","mbar","delta mV","V","%","V","%","V","V","W","W"
"Trend1EU3",MESSAGE,"Trend1EU3","Trend2EU3","Trend3EU3","Trend4EU3","A","W","%","W","degC","degC","degC","degC","W","%","W.","%","W","W","W","W"
"Trend1EU4",MESSAGE,"Trend1EU4","Trend2EU4","Trend3EU4","Trend4EU4","A","A","%","A","%","%","%","%","A","%","A","%","A","A","W","A"
"Trend1EU5",MESSAGE,"Trend1EU5","Trend2EU5","Trend3EU5","Trend4EU5","nm/s","nm/s","nm/s","nm/s","mbar","W","mbar","mV","sccm","%/s","sccm","%/s","sccm","sccm","sccm","sccm"
"Trend1EU6",MESSAGE,"Trend1EU6","Trend2EU6","Trend3EU6","Trend4EU6","nm","nm","S","nm","mbar","W","mbar","W","sccm","S","sccm","S","sccm","sccm","sccm","sccm"
"Trend1EU7",MESSAGE,"Trend1EU7","Trend2EU7","Trend3EU7","Trend4EU7","mBar","mBar",,"mBar","mbarl/s","W","-","W","mBar","","sccm",,"%","%","%","W"
"Trend1EU8",MESSAGE,"Trend1EU8","Trend2EU8","Trend3EU8","Trend4EU8",,,,,"%","W","W","W",,"","W",,,"1/s","W","W"
